id_anuncio,_falhou,descricao_livre,descricao_livre_len,blindado,has_ar_meta,has_sensor_meta,has_multimidia_meta,has_teto_solar_meta,has_camera_re_meta,atributos_extra_n
57486159,False,,0,False,False,False,False,False,False,0
57481527,False,,0,False,False,False,False,False,False,0
57484067,False,,0,False,True,False,False,False,False,3
57484646,False,,0,False,True,True,False,False,False,6
57378926,False,,0,False,True,False,False,False,False,3
57490566,False,,0,False,True,False,False,False,False,4
56518309,False,,0,False,True,False,False,False,False,4
57213225,False,,0,False,False,False,False,False,False,0
57286159,False,,0,False,False,False,False,False,False,0
57511902,False,,0,False,True,True,False,False,False,14
56819414,False,,0,False,True,False,False,False,False,6
56739076,False,,0,False,False,False,False,False,False,0
56783377,False,"Descrição do vendedor ✅ Onix Lt ✅ Motor 1.0 ✅ Completo ✅ 80 mil km ✅ Multimidia ✅ Muito conservado Valor: 46.800,00 ✔Veículo 100% periciado através do laudo cautelar. Venha conferir !!! Uma excelente opção para você 🏁Quer saber mais sobre esse ou outros carros ? Entra em contato conosco 👇👇 ☎️- 3818-5407 📲-19 98772-6203 (whats) 🌐www.vianorteauto.com.br/ Nossas Redes Sociais: ➡️ @vianorte.autocred 📌 Localização Av. Washington luiz,264-capela, Mogi Guaçu-Sp,13847-120 🚘O carro que você merece com a garantia e a procedência certa está aqui na Vianorte Veículos",561,False,True,False,True,False,False,7
56798839,False,,0,False,True,False,True,False,False,9
56767679,False,"Se você está buscando um novo carro, não se arrisque e compre na Localiza Seminovos: carros com 360 itens verificados, garantia e procedência. Aqui você encontra a maior variedade de modelos do mercado, condições únicas de financiamento, entrada facilitada em até 10 vezes sem juros, carros revisados e com garantia de quilometragem real. Viabilizamos a troca do seu carro usado e entregamos seu novo carro na segurança de sua casa! Agende já seu atendimento.",459,False,True,False,False,False,False,4
56767676,False,"Se você está buscando um novo carro, não se arrisque e compre na Localiza Seminovos: carros com 360 itens verificados, garantia e procedência. Aqui você encontra a maior variedade de modelos do mercado, condições únicas de financiamento, entrada facilitada em até 10 vezes sem juros, carros revisados e com garantia de quilometragem real. Viabilizamos a troca do seu carro usado e entregamos seu novo carro na segurança de sua casa! Agende já seu atendimento.",459,False,True,False,False,False,False,4
56767698,False,,0,False,True,False,False,False,False,4
57494959,False,,0,False,True,False,False,False,False,4
57489312,False,,0,False,False,False,False,False,False,0
57495001,False,,0,False,False,False,False,False,False,0
57494708,False,,0,False,False,False,False,False,False,0
56767737,False,,0,False,True,False,False,False,False,4
56767711,False,"Se você está buscando um novo carro, não se arrisque e compre na Localiza Seminovos: carros com 360 itens verificados, garantia e procedência. Aqui você encontra a maior variedade de modelos do mercado, condições únicas de financiamento, entrada facilitada em até 10 vezes sem juros, carros revisados e com garantia de quilometragem real. Viabilizamos a troca do seu carro usado e entregamos seu novo carro na segurança de sua casa! Agende já seu atendimento.",459,False,True,False,False,False,False,4
56767682,False,"Se você está buscando um novo carro, não se arrisque e compre na Localiza Seminovos: carros com 360 itens verificados, garantia e procedência. Aqui você encontra a maior variedade de modelos do mercado, condições únicas de financiamento, entrada facilitada em até 10 vezes sem juros, carros revisados e com garantia de quilometragem real. Viabilizamos a troca do seu carro usado e entregamos seu novo carro na segurança de sua casa! Agende já seu atendimento.",459,False,True,False,False,False,False,4
56767768,False,"Se você está buscando um novo carro, não se arrisque e compre na Localiza Seminovos: carros com 360 itens verificados, garantia e procedência. Aqui você encontra a maior variedade de modelos do mercado, condições únicas de financiamento, entrada facilitada em até 10 vezes sem juros, carros revisados e com garantia de quilometragem real. Viabilizamos a troca do seu carro usado e entregamos seu novo carro na segurança de sua casa! Agende já seu atendimento.",459,False,True,False,False,False,False,4
56767774,False,"Se você está buscando um novo carro, não se arrisque e compre na Localiza Seminovos: carros com 360 itens verificados, garantia e procedência. Aqui você encontra a maior variedade de modelos do mercado, condições únicas de financiamento, entrada facilitada em até 10 vezes sem juros, carros revisados e com garantia de quilometragem real. Viabilizamos a troca do seu carro usado e entregamos seu novo carro na segurança de sua casa! Agende já seu atendimento.",459,False,True,True,False,False,False,7
