id_anuncio,estado_conservacao,unico_dono,garagem,revisao_concessionaria,batidas_mencionadas,garantia_fabrica,llm_erro
56782573,nao_mencionado,False,False,False,True,False,
56692004,nao_mencionado,False,False,False,False,False,
56813222,nao_mencionado,False,False,False,False,False,
56813920,nao_mencionado,False,False,False,False,False,
56897613,nao_mencionado,False,False,False,False,False,
56287843,nao_mencionado,False,False,False,False,False,
56972497,nao_mencionado,False,False,False,False,False,
56755686,excelente,False,False,True,False,True,
56767659,nao_mencionado,False,False,False,False,False,
57298710,excelente,False,False,False,False,False,
56854487,nao_mencionado,False,False,True,True,True,
56836599,nao_mencionado,False,False,False,False,False,
56904262,nao_mencionado,False,False,False,False,False,
56904310,nao_mencionado,False,False,False,False,False,
56852356,nao_mencionado,False,False,False,False,False,
56648400,nao_mencionado,False,False,False,False,True,
57396327,nao_mencionado,False,False,False,False,True,
57503618,nao_mencionado,False,True,True,False,False,
56836626,nao_mencionado,False,False,False,False,False,
57495494,nao_mencionado,False,False,False,False,False,
57160024,nao_mencionado,False,False,False,False,False,
57160900,nao_mencionado,False,False,False,False,False,
56905921,nao_mencionado,False,False,False,False,False,
56785476,nao_mencionado,False,False,False,False,False,
56920954,nao_mencionado,False,True,False,False,True,
57397204,excelente,False,False,False,False,False,
57301046,nao_mencionado,False,False,False,False,False,
56857920,nao_mencionado,False,False,False,False,False,
56631610,nao_mencionado,False,True,False,False,True,
56720030,nao_mencionado,False,False,False,False,False,
56541218,nao_mencionado,False,True,False,False,True,
56491356,nao_mencionado,False,False,False,False,False,
56719954,nao_mencionado,False,False,False,False,False,
57361905,nao_mencionado,False,False,False,False,False,
56799847,excelente,False,False,False,False,True,
56596491,nao_mencionado,False,False,False,False,False,
56541082,nao_mencionado,False,True,False,False,True,
57501646,nao_mencionado,False,False,False,False,False,
57067951,nao_mencionado,False,False,False,False,False,
56827517,nao_mencionado,False,False,False,False,False,
56795831,nao_mencionado,False,False,False,False,False,
56874477,nao_mencionado,True,False,False,False,False,
56773583,nao_mencionado,False,True,False,False,True,
56913814,nao_mencionado,False,False,False,False,False,
56849547,nao_mencionado,False,False,True,False,False,
56605954,nao_mencionado,False,False,False,False,False,
